A1=iørn
A2=morten

LABEL       GOLD PROPOSED CORRECT PRECISION    RECALL     F-SCORE
              A1       A2  AGREED                       AGREEMENT
-----       ---- -------- ------- ---------    ------   ---------
nobj         628      623     616      98.9      98.1        98.5
pnct         251      260     228      87.7      90.8        89.2
attrr        210      207     199      96.1      94.8        95.4
vobj         133      132     128      97.0      96.2        96.6
subj         132      131     130      99.2      98.5        98.9
dobj         105      105     100      95.2      95.2        95.2
[subj]        85       85      72      84.7      84.7        84.7
conj          82       83      76      91.6      92.7        92.1
pobj          66       72      64      88.9      97.0        92.8
coord         63       62      61      98.4      96.8        97.6
attrd         61       61      60      98.4      98.4        98.4
time          54       56      51      91.1      94.4        92.7
preds         38       38      37      97.4      97.4        97.4
degr          35       38      35      92.1     100.0        95.9
man           33       36      32      88.9      97.0        92.8
coref         30       22      21      95.5      70.0        80.8
pobj:dobj      26       26      23      88.5      88.5        88.5
loc           25       26      19      73.1      76.0        74.5
neg           24       25      24      96.0     100.0        98.0
namef         22       22      22     100.0     100.0       100.0
ref           21       21      19      90.5      90.5        90.5
appr          20       20      17      85.0      85.0        85.0
relr          18       17      14      82.4      77.8        80.0
coref-var      16       16      15      93.8      93.8        93.8
attrr#        14       16      13      81.2      92.9        86.7
appa          14       14      14     100.0     100.0       100.0
pobj:arg#      14       12      11      91.7      78.6        84.6
prg           12       13      12      92.3     100.0        96.0
robj          12       13      12      92.3     100.0        96.0
focal         12       12      12     100.0     100.0       100.0
qobj          12       12      11      91.7      91.7        91.7
pobj:subj       9       10       9      90.0     100.0        94.7
bg             9        9       9     100.0     100.0       100.0
cond           9        9       9     100.0     100.0       100.0
coref-id       7       10       7      70.0     100.0        82.4
coref-res       8        8       5      62.5      62.5        62.5
pobj:arg       8        8       7      87.5      87.5        87.5
dir            7        8       6      75.0      85.7        80.0
ext            7        8       7      87.5     100.0        93.3
list           7        8       7      87.5     100.0        93.3
+              7        7       7     100.0     100.0       100.0
cause          7        7       7     100.0     100.0       100.0
iobj           6        6       5      83.3      83.3        83.3
ben            5        5       4      80.0      80.0        80.0
expl           5        5       5     100.0     100.0       100.0
goal           5        5       4      80.0      80.0        80.0
discmark       4        5       4      80.0     100.0        88.9
lobj           6        3       3     100.0      50.0        66.7
pobj:pobj       5        4       4     100.0      80.0        88.9
assoc-const       4        4       4     100.0     100.0       100.0
const          4        4       4     100.0     100.0       100.0
conc           3        3       3     100.0     100.0       100.0
concom         3        3       3     100.0     100.0       100.0
correl         3        3       3     100.0     100.0       100.0
fpreds         4        2       2     100.0      50.0        66.7
predo          3        3       3     100.0     100.0       100.0
xtop           3        2       2     100.0      66.7        80.0
comp           2        2       2     100.0     100.0       100.0
ex             2        2       2     100.0     100.0       100.0
pobj:dobj#       2        2       2     100.0     100.0       100.0
relpa          2        2       2     100.0     100.0       100.0
struct         2        2       2     100.0     100.0       100.0
xpl            2        2       2     100.0     100.0       100.0
²coref        2        2       2     100.0     100.0       100.0
¹dobj         3        1       1     100.0      33.3        50.0
¹vobj         2        2       2     100.0     100.0       100.0
elab           2        1       1     100.0      50.0        66.7
fpredo         1        2       1      50.0     100.0        66.7
other          1        2       0       0.0       0.0         0.0
²dobj¹       2        1       1     100.0      50.0        66.7
²pnct         2        1       0       0.0       0.0         0.0
¹time         2        1       1     100.0      50.0        66.7
[dobj]         1        1       1     100.0     100.0       100.0
[expl]         1        1       1     100.0     100.0       100.0
about          1        1       1     100.0     100.0       100.0
attrr:dobj       1        1       1     100.0     100.0       100.0
attrr:dobj#       1        1       1     100.0     100.0       100.0
avobj          1        1       1     100.0     100.0       100.0
fpred          1        1       1     100.0     100.0       100.0
modp           1        1       1     100.0     100.0       100.0
nobj#          1        1       1     100.0     100.0       100.0
pnct:elab       1        1       1     100.0     100.0       100.0
voc            1        1       1     100.0     100.0       100.0
²[subj]       2        0       0       0.0       0.0         0.0
²nobj         1        1       1     100.0     100.0       100.0
²nobj¹       1        1       1     100.0     100.0       100.0
²pobj:dobj       1        1       1     100.0     100.0       100.0
¹[subj]       1        1       1     100.0     100.0       100.0
¹cause        1        1       1     100.0     100.0       100.0
cons           0        1       0       0.0       0.0         0.0
dobj¹         0        1       0       0.0       0.0         0.0
mod            1        0       0       0.0       0.0         0.0
pnct¹         1        0       0       0.0       0.0         0.0
prg¹          0        1       0       0.0       0.0         0.0
subj¹         0        1       0       0.0       0.0         0.0
time¹         1        0       0       0.0       0.0         0.0
²coref-res       1        0       0       0.0       0.0         0.0
²iobj¹       0        1       0       0.0       0.0         0.0
²vobj         1        0       0       0.0       0.0         0.0
³[subj]       0        1       0       0.0       0.0         0.0
¹conj         1        0       0       0.0       0.0         0.0
¹neg          1        0       0       0.0       0.0         0.0
¹pnct         1        0       0       0.0       0.0         0.0
¹relr         0        1       0       0.0       0.0         0.0
¹subj         1        0       0       0.0       0.0         0.0
-----       ---- -------- ------- ---------    ------   ---------
TOTAL       2472     2473    2318      93.7      93.8        93.8
TOTAL1      2472        0       0       0.0       0.0         0.0
nolabel     2472     2473    2367      95.7      95.8        95.7
nolabel1    2472        0       0       0.0       0.0         0.0

