A1=lotte
A2=jonas

LABEL       GOLD PROPOSED CORRECT PRECISION    RECALL     F-SCORE
              A1       A2  AGREED                       AGREEMENT
-----       ---- -------- ------- ---------    ------   ---------
nobj         405      422     378      89.6      93.3        91.4
pnct         151      157     109      69.4      72.2        70.8
subj          90       87      75      86.2      83.3        84.7
vobj          89       84      76      90.5      85.4        87.9
dobj          78       79      68      86.1      87.2        86.6
attrr         70       65      45      69.2      64.3        66.7
conj          52       52      39      75.0      75.0        75.0
pobj          33       62      27      43.5      81.8        56.8
coord         46       47      43      91.5      93.5        92.5
time          42       44      27      61.4      64.3        62.8
loc           42       31      17      54.8      40.5        46.6
pobj:arg      35       37      20      54.1      57.1        55.6
preds         34       38      33      86.8      97.1        91.7
degr          24       24      16      66.7      66.7        66.7
robj          23       24      21      87.5      91.3        89.4
man           25       21      14      66.7      56.0        60.9
neg           20       22      19      86.4      95.0        90.5
[subj]        25       16      10      62.5      40.0        48.8
attrd         23       18      13      72.2      56.5        63.4
coref         38        0       0       0.0       0.0         0.0
ref           11       16       5      31.2      45.5        37.0
prg           12       12       8      66.7      66.7        66.7
struct         7       14       4      28.6      57.1        38.1
other         13        4       0       0.0       0.0         0.0
cond           8        8       7      87.5      87.5        87.5
relr           6       10       2      20.0      33.3        25.0
cause          6        8       4      50.0      66.7        57.1
ben           12        0       0       0.0       0.0         0.0
dir            6        4       3      75.0      50.0        60.0
pobj:dobj       3        7       3      42.9     100.0        60.0
coref-var       8        0       0       0.0       0.0         0.0
pobj:arg#       5        3       3     100.0      60.0        75.0
appa           4        3       3     100.0      75.0        85.7
const          5        2       2     100.0      40.0        57.1
const#         7        0       0       0.0       0.0         0.0
ext            3        4       0       0.0       0.0         0.0
iobj           3        3       3     100.0     100.0       100.0
goal           3        2       1      50.0      33.3        40.0
namef          3        2       2     100.0      66.7        80.0
pobj:loc       0        5       0       0.0       0.0         0.0
pobj:subj       3        2       1      50.0      33.3        40.0
qobj           3        2       0       0.0       0.0         0.0
appr           2        2       2     100.0     100.0       100.0
contr          2        2       1      50.0      50.0        50.0
coref-id       4        0       0       0.0       0.0         0.0
coref-res       3        1       0       0.0       0.0         0.0
discmark       4        0       0       0.0       0.0         0.0
goal#          4        0       0       0.0       0.0         0.0
pobj:const       0        4       0       0.0       0.0         0.0
pobj:goal       0        4       0       0.0       0.0         0.0
pobj:subj#       2        2       2     100.0     100.0       100.0
predo          2        2       1      50.0      50.0        50.0
agent          2        1       1     100.0      50.0        66.7
agent#         2        1       1     100.0      50.0        66.7
bg             0        3       0       0.0       0.0         0.0
comp           1        2       0       0.0       0.0         0.0
cons           1        2       0       0.0       0.0         0.0
pobj:agent#       0        3       0       0.0       0.0         0.0
pobj:ext       0        3       0       0.0       0.0         0.0
possd          3        0       0       0.0       0.0         0.0
relpa          3        0       0       0.0       0.0         0.0
xtop           2        1       1     100.0      50.0        66.7
attrd#         1        1       1     100.0     100.0       100.0
attrr#         1        1       0       0.0       0.0         0.0
conc           1        1       1     100.0     100.0       100.0
diskmark       0        2       0       0.0       0.0         0.0
ex             1        1       1     100.0     100.0       100.0
inst           1        1       0       0.0       0.0         0.0
loc#           2        0       0       0.0       0.0         0.0
other#         2        0       0       0.0       0.0         0.0
pobj#          1        1       1     100.0     100.0       100.0
pobj:const#       0        2       0       0.0       0.0         0.0
pobj:dobj#       0        2       0       0.0       0.0         0.0
pobj:formål       0        2       0       0.0       0.0         0.0
pobj:formål#       0        2       0       0.0       0.0         0.0
pobj:goal#       0        2       0       0.0       0.0         0.0
-kongruens       1        0       0       0.0       0.0         0.0
arg            1        0       0       0.0       0.0         0.0
assoc-const       1        0       0       0.0       0.0         0.0
assoc-scope       1        0       0       0.0       0.0         0.0
attrr:subj       0        1       0       0.0       0.0         0.0
concom         1        0       0       0.0       0.0         0.0
conj?          0        1       0       0.0       0.0         0.0
coref-prg       0        1       0       0.0       0.0         0.0
correl         1        0       0       0.0       0.0         0.0
degr:other       0        1       0       0.0       0.0         0.0
dir:met        0        1       0       0.0       0.0         0.0
elab           1        0       0       0.0       0.0         0.0
loc:met        0        1       0       0.0       0.0         0.0
man#           1        0       0       0.0       0.0         0.0
nobj#          1        0       0       0.0       0.0         0.0
novj           0        1       0       0.0       0.0         0.0
obj            0        1       0       0.0       0.0         0.0
part           0        1       0       0.0       0.0         0.0
pobj:?         0        1       0       0.0       0.0         0.0
pobj:about       0        1       0       0.0       0.0         0.0
pobj:agent       0        1       0       0.0       0.0         0.0
pobj:comp       0        1       0       0.0       0.0         0.0
pobj:loc#       0        1       0       0.0       0.0         0.0
pobj:other       0        1       0       0.0       0.0         0.0
pobj:part       0        1       0       0.0       0.0         0.0
pobj:pobj       0        1       0       0.0       0.0         0.0
pobj?          0        1       0       0.0       0.0         0.0
prg?           0        1       0       0.0       0.0         0.0
relelab        0        1       0       0.0       0.0         0.0
vobj:attrr       0        1       0       0.0       0.0         0.0
voc            1        0       0       0.0       0.0         0.0
-----       ---- -------- ------- ---------    ------   ---------
TOTAL       1533     1513    1114      73.6      72.7        73.1
TOTAL1      1533        0       0       0.0       0.0         0.0
nolabel     1533     1513    1250      82.6      81.5        82.1
nolabel1    1533        0       0       0.0       0.0         0.0

