A1=morten
A2=lisa

LABEL       GOLD PROPOSED CORRECT PRECISION    RECALL     F-SCORE
              A1       A2  AGREED                       AGREEMENT
-----       ---- -------- ------- ---------    ------   ---------
nobj         459      461     439      95.2      95.6        95.4
pnct         212      207     168      81.2      79.2        80.2
attrr        162      131     116      88.5      71.6        79.2
subj         100       98      90      91.8      90.0        90.9
vobj          87       91      81      89.0      93.1        91.0
dobj          69       79      59      74.7      85.5        79.7
pobj          53       87      39      44.8      73.6        55.7
conj          66       63      57      90.5      86.4        88.4
coord         47       46      46     100.0      97.9        98.9
[subj]        55       32      24      75.0      43.6        55.2
time          44       42      32      76.2      72.7        74.4
attrd         45       40      37      92.5      82.2        87.1
degr          30       28      20      71.4      66.7        69.0
man           25       20      15      75.0      60.0        66.7
neg           22       23      21      91.3      95.5        93.3
preds         30       15      15     100.0      50.0        66.7
loc           19       22      12      54.5      63.2        58.5
pobj:dobj      12       27      10      37.0      83.3        51.3
ref           20       16      14      87.5      70.0        77.8
namef         17       17      17     100.0     100.0       100.0
relr          14       16      12      75.0      85.7        80.0
qobj          13       13      13     100.0     100.0       100.0
prg           12       13      11      84.6      91.7        88.0
attrr#        15        7       5      71.4      33.3        45.5
pobj:arg       7       11       7      63.6     100.0        77.8
pobj:arg#       8       10       6      60.0      75.0        66.7
appa          12        5       5     100.0      41.7        58.8
focal          8        9       7      77.8      87.5        82.4
robj           9        8       8     100.0      88.9        94.1
appr           8        8       5      62.5      62.5        62.5
cond           8        8       7      87.5      87.5        87.5
coref          8        8       6      75.0      75.0        75.0
coref-res       5        9       1      11.1      20.0        14.3
coref-var       7        7       5      71.4      71.4        71.4
pobj:subj       7        7       5      71.4      71.4        71.4
bg             6        5       5     100.0      83.3        90.9
cause          6        5       4      80.0      66.7        72.7
coref-id       6        5       5     100.0      83.3        90.9
discmark       5        6       4      66.7      80.0        72.7
expl           5        6       5      83.3     100.0        90.9
ext            7        4       1      25.0      14.3        18.2
dir            5        5       5     100.0     100.0       100.0
const          4        5       3      60.0      75.0        66.7
fpreds         0        8       0       0.0       0.0         0.0
goal           4        4       2      50.0      50.0        50.0
comp           3        3       2      66.7      66.7        66.7
concom         3        3       1      33.3      33.3        33.3
+              2        3       2      66.7     100.0        80.0
ben            4        1       1     100.0      25.0        40.0
iobj           3        2       2     100.0      66.7        80.0
pobj:dobj#       4        1       0       0.0       0.0         0.0
conc           3        1       1     100.0      33.3        50.0
correl         2        2       2     100.0     100.0       100.0
ex             1        3       1      33.3     100.0        50.0
lobj           3        1       1     100.0      33.3        50.0
relpa          3        1       1     100.0      33.3        50.0
list           2        1       0       0.0       0.0         0.0
other          1        2       1      50.0     100.0        66.7
xpl            1        2       1      50.0     100.0        66.7
[expl]         1        1       1     100.0     100.0       100.0
about          1        1       1     100.0     100.0       100.0
assoc-const       0        2       0       0.0       0.0         0.0
cons           0        2       0       0.0       0.0         0.0
struct         1        1       1     100.0     100.0       100.0
voc            1        1       1     100.0     100.0       100.0
xtop           1        1       0       0.0       0.0         0.0
²dobj¹       1        1       1     100.0     100.0       100.0
¹vobj         2        0       0       0.0       0.0         0.0
assoc          0        1       0       0.0       0.0         0.0
attrd:dobj#       1        0       0       0.0       0.0         0.0
attrr:dobj#       0        1       0       0.0       0.0         0.0
dobj¹         1        0       0       0.0       0.0         0.0
fpredo         1        0       0       0.0       0.0         0.0
modp           0        1       0       0.0       0.0         0.0
pnct²         0        1       0       0.0       0.0         0.0
predo          1        0       0       0.0       0.0         0.0
prg¹          1        0       0       0.0       0.0         0.0
relelab        0        1       0       0.0       0.0         0.0
subj¹         1        0       0       0.0       0.0         0.0
²[subj]       0        1       0       0.0       0.0         0.0
²coref        1        0       0       0.0       0.0         0.0
²iobj¹       1        0       0       0.0       0.0         0.0
²pnct         1        0       0       0.0       0.0         0.0
²pobj:dobj       1        0       0       0.0       0.0         0.0
²vobj         0        1       0       0.0       0.0         0.0
³[subj]       1        0       0       0.0       0.0         0.0
¹dobj         1        0       0       0.0       0.0         0.0
¹relr         1        0       0       0.0       0.0         0.0
-----       ---- -------- ------- ---------    ------   ---------
TOTAL       1819     1780    1470      82.6      80.8        81.7
TOTAL1      1819        0       0       0.0       0.0         0.0
nolabel     1819     1780    1628      91.5      89.5        90.5
nolabel1    1819        0       0       0.0       0.0         0.0

