TIME:succ	TIME:post
DESCR:eval	FORMAL:eval
DESCR:qual	FORMAL:descr
TELIC:dir	TELIC:cons.dir
TELIC:sbj	TELIC:cons.sbj
CONJ	CONJ:add
CONST:elab	CONJ:elab
experient	experiencer
origin	source
pos	loc
LOC:pos	SPACE:loc
LOC:proce	SPACE:source
TIME:prec	TIME:pre
TIME:succ	TIME:post
NEG:oppo	NEG:contr
ASPEC:rev	NEG:rev
ASPEC:iter	ITER
ASPEC:cause	AGENT
ASPEC:reflex	AGENT
ASPEC:term	TELIC
ASPEC:resul	TELIC
MOD:cuant	MOD:quant
GRAD:size	MOD:quant
MOD:qual	MOD:qual
MOD:rel	MOD:qual
GRAD:qual	MOD:qual
MOD:man	MOD:eval
DER:nv	DERnv
DER:av	DERav
DER:vv	DERvv
QUAL	DERan:qual
PRED:agent	DERvn:agent
PRED:exper	DERvn:exper
PRED:core	DERvn:core
PRED:result	DERvn:patient
PRED:recip	DERvn:recip
PRED:loc	DERvn:loc
PRED:inst	DERvn:inst
PRED:other	DERvn:other
NOPRED:agent	DERnn:agent
NOPRED:result	DERnn:telic
NOPRED:cont	DERnn:cont
NOPRED:temp	DERnn:time
NOPRED:set	DERnn:quant
NOPRED:capac	DERnn:capac
NOPRED:loc	DERnn:loc
NOPRED:script	DERnn:assoc
NOPRED:other	DERnn:other
DEVERB:act.pure	DERva:act
DEVERB:act.disp	DERva:act.disp
DEVERB:act.poten	DERva:act.epi
DEVERB:pas.part	DERva:pas.part
DEVERB:pas.poten	DERva:pas.epi
DEVERB:pas.deon	DERva:pas.deon
DENOM:rel.norm	DERna:rel.norm
DENOM:rel.deono.pers	DERna:rel.deono.pers
DENOM:rel.deono.place	DERna:rel.deono.loc
DENOM:resem	DERna:resem
DENOM:poss	DERna:poss
DENOM:disp	DERna:disp
DENOM:telic	DERna:telic
DENOM:other	DERna:other
DENUM:part	DENUM:apart
DENUM:multi	DENUM:quant
reas	cause
prec	time
degr	quant
hab	iter
goal	goal
eval	eval
struct	scene
comp	resem
coref-id	coref-iden
coref-res	coref-res
coref-prg	coref-res.prg
assoc-agentive	assoc-agent
assoc-form	assoc-formal
assoc-loc	assoc-formal.loc
succ	time
cont	time
dur	time
ext	time
ben	goal
att	eval
bg	scene
pcond	scene
coref-part	coref-res
