i_dag	i/SP dag/NCCSU==I
i_går	i/SP går/NCCSU==I
selv_om	selv/PD-[CN][SP]U--U om/SP
på_grund_af	på/SP grund/NCCSU==I af/SP
i_gang	i/SP gang/NCCSU==I
blandt_andet	blandt/SP andet/PI-NSU--U
i_hvert_fald	i/SP hvert/PI-NSU--U fald/NCNSU==I
i_år	i/SP år/NCNSU==I
i_alt	i/SP alt/ANPNSU=[DI]U
som_om	som/U= om/SP
i_aftes	i/SP aftes/NCCSG==I
Selv_om	Selv/PD-[CN][SP]U--U om/SP
i_øvrigt	i/SP øvrigt/ANP---=-R
i_morgen	i/SP morgen/NCCSU==I
I_dag	I/SP dag/NCCSU==I
til_gode	til/SP gode/NCNSG==I
stort_set	stort/ANPNSU=IU set/VAPA=---R-
af_sted	af/SP sted/NCNSU==I
til_sidst	til/SP sidst/RGU
i_aften	i/SP aften/NCCSU==I
for_nylig	for/SP nylig/ANP---=-R
I_hvert_fald	I/SP hvert/PI-NSU--U fald/NCNSU==I
for_tiden	for/SP tiden/NCCSU==D
med_hensyn_til	med/SP hensyn/NCNSU==I til/SP
I_går	I/SP går/NCCSU==I
bortset_fra	bortset/VAPA=---R-- fra/SP
på_ny	på/SP ny/ANPCSU=IU
om_bord	om/SP bord/NCNSU==I
mere_eller_mindre	mere/ANC---=-R eller/CC mindre/ANC---=-R
i_det_hele_taget	i/SP det/PP3NSU-NU hele/ANP[CN]SU=DU taget/VAPA=---R-
i_forvejen	i/SP forvejen/NC[CN][SP]U==[DI]
i_nat	i/SP nat/NCCSU==I
i_årevis	i/SP årevis/NCCSU==I
I_øvrigt	I/SP øvrigt/ANP---=-R
Bortset_fra	Bortset/VAPA=---R- fra/SP
Blandt_andet	Blandt/SP andet/PI-NSU--U
simpelt_hen	simpelt/ANPNSU=IU hen/RGU
Med_hensyn_til	Med/SP hensyn/NCNSU==I til/SP
cand._jur.	cand.jur./NCCSU==I
Til_sidst	Til/SP sidst/RGU
Le_Mans-racet	Le/NP--U==- Mans/NP--U==- -/XP racet/NCNSU==D
Le_Mans-race	Le/NP--U==- Mans/NP--U==- -/XP race/NCNSU==I
I_morgen	I/SP morgen/NCCSU==I
i_lørdags	i/SP lørdags/NCCSG==I
I_år	I/SP år/NCNSU==I
blandt_andre	blandt/SP andre/PI-[CN]PU--U
bl._a.	bl.a./RGU
til_fulde	til/SP fulde/NCCSG==I
på_tide	på/SP tide/NCCSG==I
om_end	om/SP end/CS
i_torsdags	i/SP torsdags/NCCSG==I
i_live	i/SP live/NCNSG==I
hip_hop-genren	hip/XF hop/XF -/XP genren/NCCSU==D
en_bloc	en/XF bloc/XF
TV_2-Nyhederne	TV/NCNSU==I 2/AC---U=-- -/XP Nyhederne/NCCPU==D
til_vejrs	til/SP vejrs/NCNSG==I
Til_stede	Til/SP stede/NCNSG==I
til_rette	til/SP rette/NCNSG==I
til_huse	til/SP huse/NCNSG==I
På_grund_af	På/SP grund/NCCSU==I af/SP
i_går_eftermiddags	i/SP går/NCCSU==I eftermiddags/NCCSG==I
i_fredags	i/SP fredags/NCCSG==I
I_alt	I/SP alt/ANPNSU=[DI]U
I_aften	I/SP aften/NCCSU==I
for_øvrigt	for/SP øvrigt/ANP---=-R
De_Beers-topfolk	De/XF Beers/NP--U==- -/XP topfolk/NCNPU==I
B_1903-Silkeborg	B/XA 1903/AC---U=-- -/XP Silkeborg/NP--U==-
100_Pfennig-frimærke	100/AC---U=-- Pfennig/NP--U==- -/XP frimærke/NCNSU==I
til_tops	til/SP tops/NCCSG==I
