n	time	type	cur	win	id	str	win_c	id_c	str_c	
0	930	fix	96	1	12	achieving	1	1	Although	
1	1409	fix	107	1	14	standards	1	2	developing	
2	2864	fix	13	1	2	developing	1	2	developing	
3	4280	fix	96	1	12	achieving	1	1	Although	
4	4459	fix	97	1	12	achieving	1	1	Although	
5	4679	fix	111	1	14	standards	1	3	countries	
6	5197	fix	36	1	5	understandably	1	5	understandably	
7	8082	key_ins	0	2	1	S	t2	1	S	
8	8409	key_ins	1	2	1	e	t2	1	e	
9	8608	key_ins	2	2	1	l	t2	1	l	
10	8754	key_ins	3	2	1	v	t2	1	v	
11	8987	key_ins	4	2	1	o	t2	1	o	
12	9064	key_ins	5	2	1	m	t2	1	m	
13	9340	key_ins	6	2	1	_	t2	1	_	
14	9763	fix	14	1	2	developing	1	2	developing	
15	11018	key_ins	7	2	2	l	t2	2	l	
16	11196	key_ins	8	2	2	a	t2	2	a	
17	11362	key_ins	9	2	2	n	t2	2	n	
18	11497	key_ins	10	2	2	d	t2	2	d	
19	11562	key_ins	11	2	2	e	t2	2	e	
20	11788	key_ins	12	2	2	_	t2	2	_	
21	12107	key_ins	13	2	3	u	t2	3	u	
22	12156	key_ins	14	2	3	n	t2	3	n	
23	12335	key_ins	15	2	3	d	t2	3	d	
24	12398	key_ins	16	2	3	e	t2	3	e	
25	12552	key_ins	17	2	3	r	t2	3	r	
26	12863	key_ins	18	2	3	_	t2	3	_	
27	15075	key_ins	19	2	4	u	t2	4	u	
28	15330	key_ins	20	2	4	d	t2	4	d	
29	15685	key_ins	21	2	4	v	t2	4	v	
30	16338	key_ins	22	2	4	i	t2	4	i	
31	16527	key_ins	23	2	4	k	t2	4	k	
32	16760	key_ins	24	2	4	l	t2	4	l	
33	16934	key_ins	25	2	4	i	t2	4	i	
34	17221	key_ins	26	2	4	n	t2	4	n	
35	17365	key_ins	27	2	4	g	t2	4	g	
36	17521	key_ins	28	2	4	_	t2	4	_	
37	17897	fix	31	1	4	are	1	4	are	
38	24528	key_ins	29	2	5	f	t2	5	f	
39	24684	key_ins	30	2	5	o	t2	5	o	
40	24774	key_ins	31	2	5	r	t2	5	r	
41	25019	key_ins	32	2	5	s	t2	5	s	
42	25209	key_ins	33	2	5	t	t2	5	t	
43	25504	key_ins	34	2	5	å	t2	5	å	
44	25720	key_ins	35	2	5	e	t2	5	e	
45	25982	key_ins	36	2	5	l	t2	5	l	
46	26153	key_ins	37	2	5	i	t2	5	i	
47	26262	key_ins	38	2	5	g	t2	5	g	
48	26421	key_ins	39	2	5	t	t2	5	t	
49	26645	key_ins	40	2	5	_	t2	5	_	
50	27789	key_ins	41	2	6	n	t2	6	n	
51	28010	key_ins	42	2	6	o	t2	6	o	
52	28069	key_ins	43	2	6	k	t2	6	k	
53	28417	key_ins	44	2	6	_	t2	6	_	
54	28539	key_ins	45	2	7	e	t2	7	e	
55	28618	key_ins	46	2	7	r	t2	7	r	
56	28819	key_ins	47	2	7	_	t2	7	_	
57	30448	key_ins	48	2	8	t	t2	8	t	
58	30556	key_ins	49	2	8	i	t2	8	i	
59	30748	key_ins	50	2	8	l	t2	8	l	
60	31069	key_ins	51	2	8	b	t2	8	b	
61	31202	key_ins	52	2	8	a	t2	8	a	
62	31588	key_ins	53	2	8	e	t2	8	e	
63	31896	key_ins	54	2	8	g	t2	8	g	
64	33092	key_del	54	2	8	g	t2	8	g	
65	33230	key_del	53	2	8	e	t2	8	e	
66	34549	key_ins	53	2	8	g	t2	8	g	
67	34634	key_ins	54	2	8	e	t2	8	e	
68	34906	key_ins	55	2	8	h	t2	8	h	
69	35056	key_ins	56	2	8	o	t2	8	o	
70	35257	key_ins	57	2	8	l	t2	8	l	
71	35355	key_ins	58	2	8	d	t2	8	d	
72	35417	key_ins	59	2	8	e	t2	8	e	
73	35606	key_ins	60	2	8	n	t2	8	n	
74	35722	key_ins	61	2	8	d	t2	8	d	
75	35760	key_ins	62	2	8	e	t2	8	e	
76	35925	key_ins	63	2	8	_	t2	8	_	
77	36126	key_ins	64	2	8	n	t2	8	n	
78	36376	key_ins	65	2	8	å	t2	8	å	
79	36480	key_ins	66	2	8	r	t2	8	r	
80	36730	key_ins	67	2	8	_	t2	8	_	
81	36809	key_ins	68	2	8	d	t2	8	d	
82	36902	key_ins	69	2	8	e	t2	8	e	
83	37066	key_ins	70	2	8	t	t2	8	t	
84	37215	key_ins	71	2	8	_	t2	8	_	
85	37935	key_ins	72	2	8	k	t2	8	k	
86	38097	key_ins	73	2	8	o	t2	8	o	
87	38293	key_ins	74	2	8	m	t2	8	m	
88	38420	key_ins	75	2	8	m	t2	8	m	
89	38473	key_ins	76	2	8	e	t2	8	e	
90	38537	key_ins	77	2	8	r	t2	8	r	
91	38598	key_ins	78	2	8	_	t2	8	_	
92	38739	key_ins	79	2	8	t	t2	8	t	
93	38836	key_ins	80	2	8	i	t2	8	i	
94	38902	key_ins	81	2	8	l	t2	8	l	
95	39158	key_ins	82	2	8	_	t2	8	_	
96	39236	key_ins	83	2	8	a	t2	8	a	
97	39323	key_ins	84	2	8	t	t2	8	t	
98	39435	key_ins	85	2	8	_	t2	8	_	
99	41522	fix	53	1	6	reluctant	1	6	reluctant	
100	43257	fix	63	1	8	compromise	1	8	compromise	
101	46307	fix	169	1	25	need	1	9	their	
102	46706	fix	67	1	8	compromise	1	8	compromise	
103	46826	fix	67	1	8	compromise	1	8	compromise	
104	47444	fix	67	1	8	compromise	1	8	compromise	
105	47583	fix	67	1	8	compromise	1	8	compromise	
106	48062	fix	64	1	8	compromise	1	8	compromise	
107	48401	fix	64	1	8	compromise	1	8	compromise	
108	48560	fix	64	1	8	compromise	1	8	compromise	
109	48680	fix	68	1	8	compromise	1	8	compromise	
110	48959	fix	67	1	8	compromise	1	8	compromise	
111	49138	fix	63	1	8	compromise	1	8	compromise	
112	49358	fix	52	1	6	reluctant	1	6	reluctant	
113	49557	fix	75	2	8	tilbageholdende	2	8	tilbageholdende	
114	49796	fix	72	2	8	tilbageholdende	2	8	tilbageholdende	
115	50135	fix	82	2	8	tilbageholdende	2	8	tilbageholdende	
116	50175	fix	82	2	8	tilbageholdende	2	8	tilbageholdende	
117	50554	fix	84	2	8	tilbageholdende	2	8	tilbageholdende	
118	51172	fix	69	1	8	compromise	1	8	compromise	
119	51571	fix	80	1	10	chances	1	10	chances	
120	52029	fix	79	2	8	tilbageholdende	2	8	tilbageholdende	
121	52169	fix	62	2	8	tilbageholdende	2	8	tilbageholdende	
122	52368	fix	69	2	8	tilbageholdende	2	8	tilbageholdende	
123	52727	fix	50	2	8	tilbageholdende	2	8	tilbageholdende	
124	52867	fix	55	2	8	tilbageholdende	2	8	tilbageholdende	
125	53325	fix	71	2	8	tilbageholdende	2	8	tilbageholdende	
126	53963	fix	61	1	7	to	1	7	to	
127	54342	fix	53	1	6	reluctant	1	6	reluctant	
128	54741	fix	60	1	7	to	1	7	to	
129	54880	fix	73	1	9	their	1	9	their	
130	55379	fix	67	2	8	tilbageholdende	2	8	tilbageholdende	
131	55877	fix	71	2	8	tilbageholdende	2	8	tilbageholdende	
