n	time	type	cur	win	id	str	win_c	id_c	str_c		
0	945	fix	98	1	12	achieving	1	1	Although		
1	2614	key_ins	0	2	1	S	t2	1	S		
2	2804	key_ins	1	2	1	e	t2	1	e		
3	2879	fix	476	1	74	change	2	3	Selvom		
4	2912	key_ins	2	2	1	l	t2	1	l		
5	2918	fix	476	1	74	change	2	3	Selvom		
6	3038	fix	2	2	1	Selvom	2	1	Selvom		
7	3045	key_ins	3	2	1	v	t2	1	v		
8	3058	fix	3	2	1	Selvom	2	1	Selvom		
9	3171	key_ins	4	2	1	o	t2	1	o		
10	3178	fix	4	2	1	Selvom	2	1	Selvom		
11	3371	key_ins	5	2	1	m	t2	1	m		
12	3377	fix	5	2	1	Selvom	2	1	Selvom		
13	3477	fix	96	1	12	achieving	1	1	Although		
14	3696	fix	15	1	2	developing	1	2	developing		
15	4035	fix	23	1	3	countries	1	3	countries		
16	4765	key_ins	6	2	1	_	t2	1	_		
17	5494	key_ins	7	2	2	u	t2	2	u		
18	5985	key_ins	8	2	2	-	t2	2	-		
19	6257	key_ins	9	2	2	l	t2	2	l		
20	6381	key_ins	10	2	2	a	t2	2	a		
21	6512	key_ins	11	2	2	n	t2	2	n		
22	6655	key_ins	12	2	2	d	t2	2	d		
23	6786	fix	23	1	3	countries	1	3	countries		
24	6845	key_ins	13	2	2	e	t2	2	e		
25	6866	fix	23	1	3	countries	1	3	countries		
26	6986	fix	33	1	4	are	1	4	are		
27	7325	fix	43	1	5	understandably	1	5	understandably		
28	7584	fix	13	2	2	u-lande	2	2	u-lande		
29	7943	fix	13	2	2	u-lande	2	2	u-lande		
30	8102	fix	138	1	19	poor	1	5	understandably		
31	8301	fix	48	1	5	understandably	1	5	understandably		
32	8481	fix	55	1	6	reluctant	1	6	reluctant		
33	8880	fix	39	1	5	understandably	1	5	understandably		
34	8975	key_ins	14	2	2	_	t2	2	_		
35	8979	fix	39	1	5	understandably	1	5	understandably		
36	9963	key_ins	15	2	3	f	t2	3	f		
37	10052	key_ins	16	2	3	o	t2	3	o		
38	10138	key_ins	17	2	3	r	t2	3	r		
39	10366	key_ins	18	2	3	s	t2	3	s		
40	10486	key_ins	19	2	3	t	t2	3	t		
41	10617	key_ins	20	2	3	å	t2	3	å		
42	10653	fix	20	2	3	forståeligt	2	3	forståeligt		
43	10654	fix	20	2	3	forståeligt	2	3	forståeligt		
44	10765	key_ins	21	2	3	e	t2	3	e		
45	10774	fix	21	2	3	forståeligt	2	3	forståeligt		
46	10813	fix	21	2	3	forståeligt	2	3	forståeligt		
47	10887	key_ins	22	2	3	l	t2	3	l		
48	10893	fix	22	2	3	forståeligt	2	3	forståeligt		
49	11006	key_ins	23	2	3	i	t2	3	i		
50	11013	fix	23	2	3	forståeligt	2	3	forståeligt		
51	11116	key_ins	24	2	3	g	t2	3	g		
52	11133	fix	24	2	3	forståeligt	2	3	forståeligt		
53	11306	key_ins	25	2	3	t	t2	3	t		
54	11312	fix	25	2	3	forståeligt	2	3	forståeligt		
55	11445	key_ins	26	2	3	_	t2	3	_		
56	11452	fix	25	2	3	forståeligt	2	3	forståeligt		
57	11491	fix	26	2	3	forståeligt	2	3	forståeligt		
58	11659	key_ins	27	2	4	n	t2	4	n		
59	11671	fix	27	2	4	nok	2	4	nok		
60	11857	key_ins	28	2	4	o	t2	4	o		
61	11870	fix	28	2	4	nok	2	4	nok		
62	12048	key_ins	29	2	4	k	t2	4	k		
63	12070	fix	57	1	6	reluctant	1	6	reluctant		
64	12399	key_ins	30	2	4	_	t2	4	_		
65	12408	fix	57	1	6	reluctant	1	6	reluctant		
66	12488	fix	65	1	8	compromise	1	8	compromise		
67	12967	fix	28	2	4	nok	2	4	nok		
68	13065	key_ins	31	2	5	e	t2	5	e		
69	13067	fix	28	2	4	nok	2	4	nok		
70	13146	fix	31	2	5	er	2	5	er		
71	13306	fix	31	2	5	er	2	5	er		
72	13307	key_ins	32	2	5	r	t2	5	r		
73	13645	fix	147	1	21	action	1	6	reluctant		
74	13804	fix	58	1	6	reluctant	1	6	reluctant		
75	14003	fix	66	1	8	compromise	1	8	compromise		
76	14801	fix	51	1	6	reluctant	1	6	reluctant		
77	15399	fix	28	2	4	nok	2	4	nok		
78	15559	fix	32	2	5	er	2	5	er		
79	15897	fix	32	2	5	er	2	5	er		
80	16173	key_ins	33	2	5	_	t2	5	_		
81	16177	fix	33	2	5	er	2	5	er		
82	16755	fix	154	1	23	climate	1	6	reluctant		
83	16914	fix	60	1	7	to	1	7	to		
84	17054	fix	53	1	6	reluctant	1	6	reluctant		
85	17492	fix	119	1	15	of	1	4	are		
86	17672	fix	38	1	5	understandably	1	5	understandably		
87	18091	fix	147	1	21	action	1	6	reluctatnt		
88	19068	fix	48	1	5	understandably	1	5	understandably		
89	19307	fix	53	1	6	reluctant	1	6	reluctant		
90	19666	fix	50	1	6	reluctant	1	6	reluctant		
91	19965	fix	54	1	6	reluctant	1	6	reluctant		
92	20184	fix	54	1	6	reluctant	1	6	reluctant		
93	20889	key_ins	34	2	6	t	t2	6	t		
94	21069	key_ins	35	2	6	ø	t2	6	ø		
95	21329	key_ins	36	2	6	v	t2	6	v		
96	21446	key_ins	37	2	6	e	t2	6	e		
97	21540	fix	426	1	65	of	2	6	tøvende		
98	21566	key_ins	38	2	6	n	t2	6	n		
99	21580	fix	426	1	65	of	2	65	tøvende		
100	21699	fix	38	2	6	tøvende	2	6	tøvende		
101	21702	key_ins	39	2	6	d	t2	6	d		
102	21719	fix	39	2	6	tøvende	2	6	tøvende		
103	21879	key_ins	40	2	6	e	t2	6	e		
104	21879	fix	39	2	6	tøvende	2	6	tøvende		
105	22272	key_ins	41	2	6	_	t2	6	_		
106	22297	fix	41	2	6	tøvende	2	6	tøvende		
107	22419	key_ins	42	2	6	o	t2	6	o		
108	22437	fix	41	2	6	tøvende	2	6	tøvende		
109	22596	fix	42	2	6	tøvende	2	6	tøvende		
110	22598	key_ins	43	2	6	v	t2	6	v		
111	22616	fix	43	2	6	tøvende	2	6	tøvende		
112	22678	key_ins	44	2	6	e	t2	6	e		
113	22696	fix	44	2	6	tøvende	2	6	tøvende		
114	22855	key_ins	45	2	6	r	t2	6	r		
115	22876	fix	45	2	6	tøvende	2	6	tøvende		
116	23209	key_del	45	2	6	r	t2	6	r		
117	23214	fix	44	2	6	tøvende	2	6	tøvende		
118	23329	key_del	44	2	6	e	t2	6	e		
119	23334	fix	43	2	6	tøvende	2	6	tøvende		
120	23449	key_del	43	2	6	v	t2	6	v		
121	23454	fix	42	2	6	tøvende	2	6	tøvende		
122	23587	key_del	42	2	6	o	t2	6	o		
123	23593	fix	41	2	6	tøvende	2	6	tøvende		
124	24613	key_ins	42	2	6	i	t2	6	i		
125	24909	fix	571	1	94	the	2	6	tøvende		
126	24928	key_ins	43	2	6	_	t2	6	_		
127	24929	fix	571	1	94	the	2	6	tøvende		
128	25055	key_ins	44	2	6	f	t2	6	f		
129	25069	fix	571	1	94	the	2	6	tøvende		
130	25181	key_ins	45	2	6	o	t2	6	o		
131	25188	fix	571	1	94	the	2	6	tøvende		
132	25299	key_ins	46	2	6	r	t2	6	r		
133	25308	fix	571	1	94	the	2	6	tøvende		
134	25366	key_ins	47	2	6	h	t2	6	h		
135	25388	fix	571	1	94	the	2	6	tøvende		
136	25467	fix	571	1	94	the	2	6	tøvende		
137	25488	key_ins	48	2	6	o	t2	6	o		
138	25507	fix	571	1	94	the	2	6	tøvende		
139	25663	key_ins	49	2	6	l	t2	6	l		
140	25687	fix	571	1	94	the	2	6	tøvende		
141	25741	key_ins	50	2	6	d	t2	6	d		
142	25766	fix	571	1	94	the	2	6	tøvende		
143	25883	key_ins	51	2	6	_	t2	6	_		
144	25906	fix	571	1	94	the	2	6	tøvende		
145	26006	fix	76	1	9	their	1	9	their		
146	26012	key_ins	52	2	6	t	t2	6	t		
147	26026	fix	76	1	9	their	1	9	their		
148	26109	key_ins	53	2	6	i	t2	6	i		
149	26125	fix	76	1	9	their	1	9	their		
150	26250	key_ins	54	2	6	l	t2	6	l		
151	26265	fix	76	1	9	their	1	9	their		
152	26368	key_ins	55	2	7	_	t2	7	_		
153	26384	fix	76	1	9	their	1	9	their		
154	26424	fix	67	1	8	compromise	1	8	compromise		
155	26928	key_ins	56	2	8	a	t2	8	a		
156	27331	key_ins	57	2	8	t	t2	8	t		
157	27461	fix	154	1	23	climate	1	8	compromise		
158	27581	fix	65	1	8	compromise	1	8	compromise		
159	28012	key_ins	58	2	8	_	t2	8	_		
160	28019	fix	65	1	8	compromise	1	8	compromise		
161	28530	key_ins	59	2	9	s	t2	9	s		
162	28581	key_ins	60	2	9	k	t2	9	k		
163	28777	fix	246	1	37	developing	1	37	developing		
164	28780	key_ins	61	2	9	a	t2	9	a		
165	28797	fix	246	1	37	developing	1	37	developing		
166	28991	key_ins	62	2	9	d	t2	9	d		
167	28996	fix	571	1	94	the	1	9	skade		
168	29116	fix	571	1	94	the	1	9	skade		
169	29555	fix	81	1	10	chances	1	10	chances		
170	29568	key_ins	63	2	9	e	t2	9	e		
171	29574	fix	81	1	10	chances	1	10	chances		
172	29913	fix	100	1	13	better	1	13	better		
173	30053	fix	95	1	12	achieving	1	12	achieving		
174	30062	key_ins	64	2	9	_	t2	9	_		
175	30073	fix	95	1	12	achieving	1	12	achieving		
176	30192	fix	95	1	12	achieving	1	12	achieving		
177	30666	key_ins	65	2	10	d	t2	10	d		
178	30867	key_ins	66	2	10	e	t2	10	e		
179	31056	key_ins	67	2	10	r	t2	10	r		
180	31209	fix	481	1	74	change	1	10	deres		
181	31217	key_ins	68	2	10	e	t2	10	e		
182	31229	fix	481	1	74	change	1	10	deres		
183	31384	key_ins	69	2	10	s	t2	10	s		
184	31409	fix	481	1	74	change	1	10	deres		
185	31499	key_ins	70	2	10	_	t2	10	_		
186	31508	fix	481	1	74	change	1	10	deres		
187	31628	fix	70	2	10	deres	2	10	deres		
188	31717	key_ins	71	2	10	h	t2	10	h		
189	31728	fix	71	2	10	deres	2	10	deres		
190	32217	key_del	71	2	10	h	t2	10	h		
191	32418	key_ins	71	2	11	c	t2	11	c		
192	32546	key_ins	72	2	11	h	t2	11	h		
193	32665	fix	531	1	85	countries	1	11	chancer		
194	32680	key_ins	73	2	11	a	t2	11	a		
