"ExperimentID"	"ExperimentParticipantID"	"UniqueParticipantID"	"Sex"	"YearOfBirth"	"University"	"Programme"	"Student"	"DegreeStartedYear"	"DegreeFinishedYear"	"YearsTraining"	"CertifiedTranslator"	"ExperienceYears"	"L1"	"L2"	"L3"	"OpticalAids"	"LeftEye"	"RightEye"	"EyeColour"	"How frequently do you use machine translation?"	"From your previous experience with machine translation outputs, how would you rate your level of satisfaction in relation to machine translation?"	"Do you think that you will want to apply machine translation in your future translation tasks?"	"In general, how feasible do you think it is to apply machine translation to professional translation services?"	"Have you ever post-edited  machine translation?"	"How satisfied are you with the translation you have produced through post-editing?"	"How satisfied are you with the translation you have produced through editing?"	"Would you have preferred to work on your translation from scratch instead of post-editing machine translation?"	"Do you think that you will want to apply machine translation in your future translation tasks?"	"Based on the post-editing task you have performed, how much do you rate machine translation outputs on the following attributes? Grammaticality"	"Based on the post-editing task you have performed, how much do you rate machine translation outputs on the following attributes? Style"	"Based on the post-editing task you have performed, how much do you rate machine translation outputs on the following attributes? Overall accuracy"	"Based on the post-editing task you have performed, how much do you rate machine translation outputs on the following attributes? Overall quality"	"Based on the post-editing task you have performed, which of these statements will you go for?"	"Based on the post-editing task you have performed, how often would you have preferred to translate from scratch rather than post-editing machine translation?"
"KTHJ08"	"P07"	"U7"	"F"	1978	"CBS"	"T/I"	"No"		2005		"Yes"	3	"Danish"	"English"	"German"	"None"	"NA"	"NA"																
"KTHJ08"	"P06"	"U6"	"F"		"CBS"	"T/I"	"No"		1999		"Yes"	6	"Danish"	"English"	"German"	"Lenses"	-1.5	-0.75	"Blue"															
"KTHJ08"	"P02"	"U2"	"F"	1972	"CBS"	"T/I"	"No"		1974		"Yes"	33	"Danish"	"English"		"Lenses"	-7	-6.5	"Blue"															
"KTHJ08"	"P10"	"U10"	"M"			"T/I"	"No"		1976		"Yes"	30	"Danish"	"English"	"Spanish"		5	4.75	"Brown"															
"KTHJ08"	"P11"	"U11"	"M"			"T/I"	"No"		1996		"Yes"	3	"Danish"	"English"																				
"KTHJ08"	"P01"	"U1"	"F"			"T/I"	"No"		1995		"Yes"	13	"Danish"	"English"	"French"	"Glasses"	-2	-2.25	"Grey/Green"															
"KTHJ08"	"P03"	"U3"	"F"		"CBS"	"T/I"	"No"		2000		"Yes"	6	"Danish"	"English"																				
"KTHJ08"	"P12"	"U12"	"F"		"CBS"	"T/I"	"No"		2005		"Yes"	4	"Danish"	"English"																				
"KTHJ08"	"S09"	"U21"	"F"		"CBS"	"StudentT/I"	"Yes"	2007	"NA"		"No"	"<2"	"Danish"	"English"																				
"KTHJ08"	"S10"	"U22"	"F"		"CBS"	"StudentT/I"	"Yes"		"NA"		"No"	"<2"	"Danish"	"English"		"None"	"NA"	"NA"	"Brown"															
"KTHJ08"	"S05"	"U17"	"F"	1981	"CBS"	"StudentT/I"	"Yes"	2004	"NA"		"No"	"<2"	"Danish"	"English"		"None"	"NA"	"NA"	"Blue"															
"KTHJ08"	"S08"	"U20"	"F"		"CBS"	"StudentT/I"	"Yes"	2007	"NA"		"No"	"<2"	"Danish"	"English"																				
"KTHJ08"	"S11"	"U23"	"F"		"CBS"	"StudentT/I"	"Yes"	2007	"NA"		"No"	"<2"	"Danish"	"English"																				
"KTHJ08"	"S12"	"U24"	"F"		"CBS"	"StudentT/I"	"Yes"	2004	"NA"		"No"	"<2"	"Danish"	"English"		"Lenses"	5.75	6	"Blue"															
"KTHJ08"	"S07"	"U19"	"F"		"CBS"	"StudentT/I"	"Yes"	2004	"NA"		"No"	"<2"	"Danish"	"English"		"Lenses"	-6	-7.5	"Brown"															
"KTHJ08"	"S04"	"U16"	"M"		"CBS"	"StudentT/I"	"Yes"	2006	"NA"		"No"	"<2"	"Danish"	"English"																				
"KTHJ08"	"S03"	"U15"	"F"		"CBS"	"StudentT/I"	"Yes"		"NA"		"No"	"<2"	"Danish"	"English"					"Brown"															
"KTHJ08"	"S01"	"U13"	"F"		"CBS"	"StudentT/I"	"Yes"	2007	"NA"		"No"	"<2"	"Danish"	"English"																				
"KTHJ08"	"S06"	"U18"	"F"		"CBS"	"StudentT/I"	"Yes"	2007	"NA"		"No"	"<2"	"Danish"	"English"																				
"KTHJ08"	"S02"	"U14"	"F"		"CBS"	"StudentT/I"	"Yes"	2007	"NA"		"No"	"<2"	"Danish"	"English"																				
"KTHJ08"	"P04"	"U4"	"F"			"T/I"	"No"		1989		"Yes"	17	"Danish"	"English"																				
"KTHJ08"	"P09"	"U9"	"F"		"CBS"	"T/I"	"No"		1979		"Yes"	30	"Danish"	"English"		"Glasses"			"Blue"															
"KTHJ08"	"P05"	"U5"	"F"		"CBS"	"T/I"	"No"		1978		"Yes"	15	"Danish"	"English"		"Lenses"			"Brown"															
"KTHJ08"	"P08"	"U8"	"F"		"CBS"	"T/I"	"No"		1981		"Yes"	20	"Danish"	"English"																				
"ACS08"	14	"U31"	"F"			"T/I"	"No"		1999		"Yes"		"Danish"	"English"																				
