"StimulusID"	"Domain"	"SourceLanguage"	"LengthWords"	"LengthCharacters"	"Text"
"Text1"		"English"	148	837	"Killer nurse receives four life sentences Hospital nurse Colin Norris was imprisoned for life today for the killing of four of his patients. 32 year old Norris from Glasgow killed the four women in 2002 by giving them large amounts of sleeping medicine. Yesterday, he was found guilty of four counts of murder following a long trial. He was given four life sentences, one for each of the killings. He will have to serve at least 30 years. Police officer Chris Gregg said that Norris had been acting strangely around the hospital. Only the awareness of other hospital staff put a stop to him and to the killings. The police have learned that the motive for the killings was that Norris disliked working with old people. All of his victims were old weak women with heart problems. All of them could be considered a burden to hospital staff."
"Text2"		"English"	139	846	"Families hit with increase in cost of living British families have to cough up an extra £1,300 a year as food and fuel prices soar at their fastest rate in 17 years. Prices in supermarkets have climbed at an alarming rate over the past year. Analysts have warned that prices will increase further still, making it hard for the Bank of England to cut interest rates as it struggles to keep inflation and the economy under control. To make matters worse, escalating prices are racing ahead of salary increases, especially those of nurses and other healthcare professionals, who have suffered from the government’s insistence that those in the public sector have to receive belowinflation salary increases. In addition to fuel and food, electricity bills are also soaring. Five out of the six largest suppliers have increased their customers' bills."
"Text3"		"English"	132	856	"Spielberg shows Beijing red card over Darfur In a gesture sure to rattle the Chinese Government, Steven Spielberg pulled out of the Beijing Olympics to protest against China’s backing for Sudan’s policy in Darfur. His withdrawal comes in the wake of fighting flaring up again in Darfur and is set to embarrass China, which has sought to halt the negative fallout from having close ties to the Sudanese government. China, which has extensive investments in the Sudanese  oil industry, maintains close links with the Government, which includes one minister charged with crimes against humanity by the International Criminal Court in The Hague. Although emphasizing that Khartoum bears the bulk of the responsibility for these ongoing atrocities, Spielberg maintains that the international community, and particularly China, should do more to end the suffering."
"Text4"		"English"	153	923	"American Express recently announced a second round of job cuts. The announcement sent a shiver through the market for bonds backed by credit card debt. The rise in unemployment has spattered a once-profitable business with red ink. As hopes that credit cards would avoid the pain felt in mortgages have dwindled, so has any chance of the industry avoiding a political backlash. This week Congress voted through a bill that would sharply restrict card issuers’ ability to charge punitive fees and raise interest rates. The industry’s claim that the bill will choke off access to credit is a bit rich given its own rush to reduce its unsecured lending. Morgan Stanley expects the big three issuers to post losses in their card businesses this year and next. Little wonder, then, that card issuers feel shell-shocked. When they clamber back into profit, they can expect returns on assets of only one-half of pre-crisis levels."
"Text5"		"English"	149	796	"Say you go to a bank to get a loan. The bank lends you money. Then it packages your loan with a bunch of others into a bond. Investors buy the bond because they like the steady stream of cash that comes from people slowly paying off their debt. This goes on for a long while. Then one day, you need another loan. But this time, there is no money to lend because the global financial system has turned upside down, and the market for securitization - the process of packaging loans into bonds and freeing up cash for more lending - has fallen off a cliff. We’re now suffering a financial Chernobyl, and securitization is radioactive. It enabled us to gorge on money, which is what got us into this mess. The task now is to find the proper role for securitization so that it doesn’t detonate again."
"Text6"		"English"	147	872	"Every time you look around, it seems like companies are trying to hook up. The proposed marriage of Air France-KLM and Delta Air Lines is the latest to make the rounds. But the suitors must first gain the approval of regulators, who are sure to supervise the courtship with care because of the size of the dowry. The path from the altar is strewn with failed corporate marriages. Still, the matchmaking continues apace. British Airways and Spanish carrier Iberia have been wooing one another for the better part of a year. In March, pharmaceutical giants Merck and Plough-Schering announced their intention to wed. Fiat has ambitious plans to merge with Chrysler and the European operations of General Motors to spin off into a new car company. And the on-again, off-again plans of Porsche and Volkswagen to tie the knot have been dominating the business pages for months."
"Text7"		"English"	147	857	"The Bank of England’s home in Threadneedle Street may not look like a hospital but for the past few months it has been acting like one. As the economic downturn became a full-blown collapse late last year, the central bank’s senior consultants donned their white coats and got to work. First they put their scalpel to interest rates, slicing them from 5% in early October to an all-time low of 0.5% in March. Not content with that, they switched at once from scalpel to syringe and started to inject money into the economy by buying assets with freshly created central-bank money. As with the preceding rate cuts, the new treatment has been  administered in big doses. However, a swift return to economic health is highly unlikely after the financial and economic convulsions of the past two years. A prolonged convalescence is the best that can be expected."
"Text8"		"English"	100	667	"Although developing countries are understandably reluctant to compromise their chances of achieving better standards of living for the poor, action on climate change need not threaten economic development. Incentives must be offered to encourage developing countries to go the extra green mile and implement clean technologies, and could also help minimise emissions from deforestation. Some of the most vulnerable countries of the world have contributed the least to climate change, but are bearing the brunt of it. Developing countries, in particular, need to adapt to the effects of climate change. Adaptation and mitigation efforts must therefore go hand in hand."
"Text9"		"Danish"	142	827	"Nogle vil påstå, at mænd og kvinder taler forskellige sprog. Hvis en mand i et parforhold siger, at han ikke ønsker at tale om sine problemer, føler den typiske kvinde, at hun bliver udelukket fra hans verden. Hvis kvinden siger til ham, at hun ikke ønsker at snakke om problemerne, tror de fleste mænd, at hun ikke har behov for at tale om dem. Disse misforståelser giver anledning til skænderier. Når store skænderier opstår, reagerer kvinder og mænd også forskelligt. Ny forskning viser, at mange kvinder græder, når de er vrede. I disse situationer vælger skræmte mænd at flygte, og de kan føle sig hjælpeløse. I modsætning til den grædende kvinde bruger den vrede mand hårde ord. På trods af disse forskellige reaktioner formår de fleste mænd og kvinder at leve fredeligt sammen, og vi kan jo nok ikke leve uden hinanden."
"Text10"		"Danish"	127	838	"I mange hjem finder man et kæledyr, og de fleste mennesker foretrækker enten hund eller kat. Indtil videre slår den bløde hundehvalp den kære killing i kapløbet om at være Danmarks mest populære kæledyr. Mens hundens loyalitet forklarer dens store popularitet, elsker de talrige katteejere kattens selvstændighed. Mens den almindelige katteejer synes, at en hund er for uselvstændig og beskidt, opfatter mange hundeejere katte som dovne og upersonlige. Mange kæledyrsejere vælger et kæledyr, der afspejler deres egen personlighed. Når den store stærke mand køber en stor stærk hund, forstærker hundens træk hundeejerens ego. Omvendt foretrækker den feminine kvinde tit den smukke og elegante kat. Hunden og katten enes normalt uden problemer, hvis de er vant til hinanden. Ofte toppes hundeejeren og katteejeren mere end hunden og katten."
